nohup: ignoring input
loading Data :
Loading Model :
Compiling Model :
Generating Sample :
Generating Certificates :
Point  0 attaques trouvées : tensor([1.9654], device='cuda:0') tensor([1.9532], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  1 attaques trouvées : tensor([2.3838], device='cuda:0') tensor([2.3857], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  2 attaques trouvées : tensor([2.4250], device='cuda:0') tensor([2.4217], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  3 attaques trouvées : tensor([4.1206], device='cuda:0') tensor([4.1195], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  4 attaques trouvées : tensor([3.7589], device='cuda:0') tensor([3.7587], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  5 attaques trouvées : tensor([3.3720], device='cuda:0') tensor([3.3664], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  6 attaques trouvées : tensor([2.4433], device='cuda:0') tensor([2.4326], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  7 attaques trouvées : tensor([3.1799], device='cuda:0') tensor([3.1829], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  8 attaques trouvées : tensor([3.4876], device='cuda:0') tensor([3.4921], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  9 attaques trouvées : tensor([1.8557], device='cuda:0') tensor([1.8478], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  10 attaques trouvées : tensor([3.5943], device='cuda:0') tensor([3.5922], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  11 attaques trouvées : tensor([3.1530], device='cuda:0') tensor([3.1388], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  12 attaques trouvées : tensor([2.8866], device='cuda:0') tensor([2.8812], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  13 attaques trouvées : tensor([2.2107], device='cuda:0') tensor([2.2162], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  14 attaques trouvées : tensor([2.3557], device='cuda:0') tensor([2.3609], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  15 attaques trouvées : tensor([2.7419], device='cuda:0') tensor([2.7443], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  16 attaques trouvées : tensor([1.1739], device='cuda:0') tensor([1.1589], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  17 attaques trouvées : tensor([1.1617], device='cuda:0') tensor([1.1600], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  18 attaques trouvées : tensor([3.1261], device='cuda:0') tensor([3.1254], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  19 attaques trouvées : tensor([2.6946], device='cuda:0') tensor([2.6870], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  20 attaques trouvées : tensor([2.8406], device='cuda:0') tensor([2.8447], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  21 attaques trouvées : tensor([1.7531], device='cuda:0') tensor([1.7485], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  22 attaques trouvées : tensor([2.0860], device='cuda:0') tensor([2.0826], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  23 attaques trouvées : tensor([2.7807], device='cuda:0') tensor([2.7765], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  24 attaques trouvées : tensor([2.6717], device='cuda:0') tensor([2.6863], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  25 attaques trouvées : tensor([3.4331], device='cuda:0') tensor([3.4360], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  26 attaques trouvées : tensor([2.0596], device='cuda:0') tensor([2.0584], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  27 attaques trouvées : tensor([2.9755], device='cuda:0') tensor([2.9540], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  28 attaques trouvées : tensor([1.6321], device='cuda:0') tensor([1.6231], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  29 attaques trouvées : tensor([2.9114], device='cuda:0') tensor([2.9113], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  30 attaques trouvées : tensor([2.7250], device='cuda:0') tensor([2.7230], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  31 attaques trouvées : tensor([2.5834], device='cuda:0') tensor([2.5789], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  32 attaques trouvées : tensor([2.6339], device='cuda:0') tensor([2.6123], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  33 attaques trouvées : tensor([3.5934], device='cuda:0') tensor([3.5874], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  34 attaques trouvées : tensor([3.4179], device='cuda:0') tensor([3.4185], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  35 attaques trouvées : tensor([3.2284], device='cuda:0') tensor([3.2382], device='cuda:0', grad_fn=<SqrtBackward0>)
